year,month,day_of_week,day_night,accident_severity,accident_type,killed,severly_injured,lightly_injured,injured_pedestrians,casualties_ages_0-19,casualties_ages_20-64,casualties_ages_65_plus,total_casualties,vehicle_count,drivers,road_type,localization_quality,settlement,road1,location,road2,road3,road4,source_road
2021,June,Sunday,Night,Severe,Front to rear collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,551.0,,,4
2021,July,Thursday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,Junction,Exact,,3.0,,4.0,,,4
2021,June,Monday,Day,Severe,Front to side collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,44.0,,,4
2021,March,Friday,Day,Severe,Front to side collision,0.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,Junction,Exact,,4.0,,5.0,,,4
2021,March,Friday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,Junction,Exact,,4.0,,461.0,,,4
2021,December,Friday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,44.0,,,4
2021,August,Saturday,Night,Severe,Hit an object,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,Junction,Exact,,4.0,,4111.0,,,4
2021,August,Monday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,3.0,,4.0,,,4
2021,June,Wednesday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,Junction,Exact,,4.0,,5.0,,,4
2021,March,Friday,Day,Severe,Side to side collision,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,December,Thursday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,Junction,Exact,,4.0,,3714.0,,,4
2021,October,Monday,Night,Light,Slip,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Junction,Exact,,4.0,,,,,4
2021,April,Monday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,34.0,,,4
2021,June,Monday,Night,Severe,Front to rear collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,1.0,,4.0,,,4
2021,September,Tuesday,Night,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,44.0,,,4
2021,May,Tuesday,Day,Light,Side to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,481.0,,,4
2021,February,Friday,Day,Severe,Front to rear collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,July,Tuesday,Day,Light,Hit an object,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Junction,Exact,,4.0,,4111.0,,,4
2021,September,Sunday,Day,Severe,Pedestrian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Junction,Exact,,4.0,,481.0,,,4
2021,March,Monday,Day,Severe,Front to side collision,0.0,1.0,3.0,0.0,0.0,2.0,2.0,4.0,2.0,2.0,Junction,Exact,,4.0,,5.0,,,4
2021,April,Friday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,Junction,Exact,,4.0,,531.0,,,4
2021,November,Tuesday,Day,Light,Front to side collision,0.0,0.0,5.0,0.0,1.0,3.0,1.0,5.0,3.0,3.0,Junction,Exact,,4.0,,,,,4
2021,November,Sunday,Night,Light,Front to side collision,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,2.0,Junction,Exact,,4.0,,34.0,,,4
2021,April,Saturday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,5.0,,,4
2021,April,Tuesday,Day,Light,Roll over,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Junction,Exact,,4.0,,,,,4
2021,January,Tuesday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,February,Friday,Day,Light,Side to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,44.0,,,4
2021,December,Sunday,Night,Light,Front to side collision,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,Junction,Exact,,4.0,,20.0,,,4
2021,May,Tuesday,Day,Light,Front to side collision,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,Junction,Exact,,4.0,,3711.0,,,4
2021,November,Friday,Day,Light,Front to side collision,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,Junction,Exact,,4.0,,5.0,,,4
2021,May,Wednesday,Day,Light,Front to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,May,Thursday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,35.0,,,4
2021,January,Monday,Day,Light,Front to side collision,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,Junction,Exact,,4.0,,553.0,,,4
2021,November,Sunday,Night,Light,Front to side collision,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,Junction,Exact,,4.0,,5.0,,,4
2021,February,Thursday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,3421.0,,,4
2021,March,Wednesday,Day,Severe,Front to side collision,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,5.0,,,4
2021,May,Saturday,Day,Severe,Front to side collision,0.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,July,Sunday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,232.0,,,4
2021,June,Saturday,Day,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,Junction,Exact,,4.0,,5.0,,,4
2021,November,Monday,Day,Severe,Slip,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,44.0,,,4
2021,July,Monday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,March,Thursday,Day,Light,Front to side collision,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,January,Monday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,March,Sunday,Day,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,111.0,,,,4
2021,March,Thursday,Day,Severe,Side to side collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,Not junction,Exact,,4.0,137.2,,,,4
2021,February,Tuesday,Night,Light,Side to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,116.0,,,,4
2021,November,Tuesday,Day,Severe,Slip,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Not junction,Exact,,4.0,93.0,,,,4
2021,August,Monday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Not junction,Exact,,4.0,65.0,,,,4
2021,October,Wednesday,Night,Fatal,Roll over,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Not junction,Exact,,4.0,109.0,,,,4
2021,January,Monday,Day,Light,Hit an object,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Not junction,Exact,,4.0,121.5,,,,4
2021,March,Friday,Day,Light,Side to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,75.9,,,,4
2021,March,Wednesday,Day,Light,Pedestrian,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Not junction,Exact,,4.0,116.4,,,,4
2021,December,Wednesday,Day,Light,Side to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,124.6,,,,4
2021,July,Thursday,Day,Severe,Side to side collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,125.0,,,,4
2021,December,Wednesday,Day,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,Not junction,Exact,,4.0,129.3,,,,4
2021,February,Saturday,Night,Severe,Front to rear collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,115.0,,,,4
2021,February,Monday,Day,Fatal,Front to rear collision,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,Not junction,Exact,,4.0,99.0,,,,4
2021,August,Thursday,Night,Fatal,Front to rear collision,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,Not junction,Exact,,4.0,130.0,,,,4
2021,February,Friday,Night,Severe,Roll over,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Not junction,Exact,,4.0,72.0,,,,4
2021,February,Monday,Day,Severe,Front to rear collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,114.4,,,,4
2021,January,Sunday,Night,Light,Roll over,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,124.0,,,,4
2021,October,Friday,Day,Light,Roll over,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Not junction,Exact,,4.0,123.0,,,,4
2021,July,Sunday,Day,Severe,Front to rear collision,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Not junction,Exact,,4.0,113.3,,,,4
2021,May,Wednesday,Day,Severe,Front to rear collision,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,Not junction,Exact,,4.0,84.6,,,,4
2021,December,Sunday,Day,Light,Side to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,114.5,,,,4
2021,July,Friday,Day,Severe,Side to side collision,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Not junction,Exact,,4.0,111.4,,,,4
2021,May,Sunday,Day,Light,Front to rear collision,0.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,Not junction,Exact,,4.0,129.9,,,,4
2021,April,Saturday,Night,Light,Side to side collision,0.0,0.0,4.0,0.0,2.0,2.0,0.0,4.0,2.0,2.0,Not junction,Exact,,4.0,95.0,,,,4
2021,February,Sunday,Day,Light,Front to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,116.6,,,,4
2021,August,Thursday,Day,Severe,Side to side collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,70.0,,,,4
2021,February,Thursday,Day,Severe,Front to rear collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,131.1,,,,4
2021,August,Thursday,Day,Fatal,Side to side collision,1.0,1.0,2.0,3.0,1.0,3.0,0.0,4.0,3.0,3.0,Not junction,Exact,,4.0,94.9,,,,4
2021,January,Saturday,Night,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,104.9,,,,4
2021,June,Tuesday,Day,Light,Front to rear collision,0.0,0.0,5.0,0.0,1.0,3.0,1.0,5.0,4.0,4.0,Not junction,Exact,,4.0,73.6,,,,4
2021,June,Monday,Day,Light,Side to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,Not junction,Exact,,4.0,113.0,,,,4
2021,October,Tuesday,Night,Severe,Other,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Not junction,Exact,,4.0,123.3,,,,4
2021,November,Sunday,Night,Light,Hit an object,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Not junction,Exact,,4.0,114.3,,,,4
2021,November,Tuesday,Night,Light,Side to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Not junction,Exact,,4.0,117.2,,,,4
2021,March,Monday,Day,Fatal,Front to rear collision,1.0,1.0,2.0,1.0,0.0,4.0,0.0,4.0,4.0,4.0,Not junction,Exact,,4.0,101.0,,,,4
2021,September,Wednesday,Night,Fatal,Front to rear collision,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,117.2,,,,4
2021,October,Saturday,Night,Light,Hit an object,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Not junction,Exact,,4.0,118.0,,,,4
2021,May,Thursday,Night,Light,Collision with stopped vehicle,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,118.6,,,,4
2021,December,Sunday,Day,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Not junction,Exact,,4.0,108.7,,,,4
2021,October,Sunday,Night,Fatal,Front to rear collision,1.0,2.0,5.0,0.0,2.0,6.0,0.0,8.0,7.0,7.0,Not junction,Exact,,4.0,95.0,,,,4
