location,year,total,fatal,severe,light
1.5,2017.0,3.0,0.0,0.0,3.0
1.5,2018.0,12.0,0.0,5.0,7.0
1.5,2019.0,16.0,2.0,3.0,11.0
1.5,2020.0,9.0,0.0,4.0,5.0
1.5,2021.0,12.0,0.0,2.0,10.0
1.6,2003.0,8.0,2.0,1.0,5.0
1.6,2004.0,6.0,1.0,4.0,1.0
1.6,2005.0,3.0,0.0,0.0,3.0
1.6,2006.0,5.0,0.0,1.0,4.0
1.6,2007.0,5.0,0.0,2.0,3.0
1.6,2008.0,6.0,0.0,2.0,4.0
1.6,2009.0,2.0,0.0,0.0,2.0
1.6,2010.0,2.0,0.0,0.0,2.0
1.6,2011.0,6.0,0.0,1.0,5.0
1.6,2012.0,5.0,0.0,0.0,5.0
1.6,2013.0,6.0,0.0,0.0,6.0
1.6,2014.0,7.0,0.0,0.0,7.0
1.6,2015.0,9.0,0.0,0.0,9.0
1.6,2016.0,19.0,0.0,3.0,16.0
1.6,2017.0,6.0,0.0,1.0,5.0
1.6,2018.0,9.0,2.0,1.0,6.0
1.6,2019.0,23.0,1.0,5.0,17.0
1.6,2020.0,4.0,0.0,0.0,4.0
1.6,2021.0,16.0,2.0,4.0,10.0
1.7,2003.0,9.0,0.0,0.0,9.0
1.7,2004.0,9.0,0.0,0.0,9.0
1.7,2005.0,7.0,0.0,0.0,7.0
1.7,2006.0,15.0,0.0,1.0,14.0
1.7,2007.0,7.0,0.0,2.0,5.0
1.7,2008.0,11.0,0.0,1.0,10.0
1.7,2009.0,15.0,0.0,1.0,14.0
1.7,2010.0,11.0,0.0,1.0,10.0
1.7,2011.0,6.0,0.0,2.0,4.0
1.7,2012.0,8.0,1.0,0.0,7.0
1.7,2013.0,4.0,0.0,1.0,3.0
1.7,2014.0,4.0,0.0,0.0,4.0
1.7,2015.0,2.0,0.0,0.0,2.0
1.7,2016.0,9.0,1.0,2.0,6.0
1.7,2017.0,6.0,0.0,1.0,5.0
1.7,2018.0,8.0,0.0,3.0,5.0
1.7,2019.0,7.0,1.0,0.0,6.0
1.7,2020.0,5.0,0.0,2.0,3.0
1.7,2021.0,14.0,1.0,3.0,10.0
1.7,2022.0,3.0,0.0,0.0,3.0
1.8,2003.0,9.0,1.0,2.0,6.0
1.8,2004.0,9.0,1.0,0.0,8.0
1.8,2005.0,6.0,0.0,1.0,5.0
1.8,2006.0,7.0,0.0,0.0,7.0
1.8,2007.0,8.0,2.0,1.0,5.0
1.8,2008.0,8.0,0.0,1.0,7.0
1.8,2009.0,6.0,0.0,1.0,5.0
1.8,2010.0,2.0,0.0,0.0,2.0
1.8,2011.0,4.0,1.0,0.0,3.0
1.8,2012.0,3.0,0.0,1.0,2.0
1.8,2013.0,4.0,1.0,1.0,2.0
1.8,2014.0,11.0,0.0,3.0,8.0
1.8,2015.0,6.0,1.0,2.0,3.0
1.8,2016.0,3.0,1.0,0.0,2.0
1.8,2017.0,2.0,1.0,0.0,1.0
1.8,2018.0,12.0,0.0,2.0,10.0
1.8,2019.0,12.0,0.0,5.0,7.0
1.8,2020.0,11.0,1.0,2.0,8.0
1.8,2021.0,16.0,2.0,0.0,14.0
1.8,2022.0,2.0,0.0,0.0,2.0
1.9,2003.0,9.0,0.0,4.0,5.0
1.9,2004.0,8.0,1.0,1.0,6.0
1.9,2005.0,3.0,1.0,0.0,2.0
1.9,2006.0,7.0,0.0,1.0,6.0
1.9,2007.0,5.0,0.0,3.0,2.0
1.9,2008.0,8.0,0.0,1.0,7.0
1.9,2009.0,2.0,0.0,0.0,2.0
1.9,2010.0,8.0,0.0,3.0,5.0
1.9,2011.0,5.0,0.0,1.0,4.0
